cell_type_name,female_n,female_broad_class,male_n,male_cell_type,male_superclass
Tlp1,38,,139,Tlp12,ol_intrinsic
Tm32,2,,174,Tm34,ol_intrinsic
LPLC1,35,CNS neuron,134,LPLC1,visual_projection
TmY16,1,,168,TmY16,ol_intrinsic
ORN_VA1d,35,sensory neuron,132,ORN_VA1d,cb_sensory
MeTu4a,19,,146,MeTu4a,visual_projection
Y11,12,,153,Y11,ol_intrinsic
JO-B,147,sensory neuron,13,JO-B-unclear,cb_sensory
Dm11,1,,158,Dm11,ol_intrinsic
MLt3,13,,145,MeLo2,ol_intrinsic
Tm8b,1,,155,Tm36,ol_intrinsic
LC10e,45,CNS neuron,110,LC10e,visual_projection
Sm15,8,,143,Cm9,ol_intrinsic
MeTu4c,6,,143,MeTu4c,visual_projection
Li02,27,,119,Li23,ol_intrinsic
ORN_VL1,64,sensory neuron,82,ORN_VL1,cb_sensory
LC22,70,,73,LC22,visual_projection
ORN_DL3,40,sensory neuron,103,ORN_DL3,cb_sensory
Li03,29,,113,Li27,ol_intrinsic
LC10b,45,CNS neuron,95,LC10b,visual_projection
LPLC4,43,CNS neuron,97,LPLC4,visual_projection
LPi04,15,CNS neuron,123,LPi3a,ol_intrinsic
BM_Taste,96,sensory neuron,40,BM_Taste,cb_sensory
Li17,19,,117,Li25,ol_intrinsic
MTe01a,36,,99,MeVP6,visual_projection
ORN_VA2,51,sensory neuron,83,ORN_VA2,cb_sensory
Tlp4,19,,115,Tlp13,ol_intrinsic
cLP02,33,,101,LPT111,visual_centrifugal
LC26,57,,75,LC26,visual_projection
LPi09,9,,119,LPi34,ol_intrinsic
Pm08,2,,124,Pm2b,ol_intrinsic
MLt1,2,,123,MeLo1,ol_intrinsic
ORN_VM5d,41,sensory neuron,84,ORN_VM5d,cb_sensory
Tm31,1,,124,Tm30,ol_intrinsic
LC24,30,,94,LC24,visual_projection
MTe02,41,,76,MeVP2,visual_projection
ORN_DM1,40,sensory neuron,74,ORN_DM1,cb_sensory
LPi07,7,,104,LPi3412,ol_intrinsic
ORN_DL1,28,sensory neuron,83,ORN_DL1,cb_sensory
Li13,41,,65,Li13,ol_intrinsic
LC20b,26,CNS neuron,79,LC20b,visual_projection
ORN_VL2a,4,sensory neuron,98,ORN_VL2a,cb_sensory
ORN_VM4,24,sensory neuron,78,ORN_VM4,cb_sensory
LCe02,44,,57,LC30,visual_projection
Dm20,2,CNS neuron,98,Dm20,ol_intrinsic
LPi05,4,,95,LPi2e,ol_intrinsic
Sm10,9,,89,Cm10,ol_intrinsic
vDeltaA_a,28,,70,vDeltaA_a,cb_intrinsic
MLt4,1,,96,MeLo7,ol_intrinsic
MTe54,27,,69,MeVP3,visual_projection
ORN_V,41,sensory neuron,55,ORN_V,cb_sensory
MTe01b,43,,52,MeVP7,visual_projection
LCe03,43,,51,LoVP13,visual_projection
MeTu3b,13,,80,MeTu3b,visual_projection
ORN_DM2,38,sensory neuron,54,ORN_DM2,cb_sensory
ORN_DM6,33,sensory neuron,58,ORN_DM6,cb_sensory
LC25,34,CNS neuron,56,LC25,visual_projection
vDeltaK,43,,47,vDeltaK,cb_intrinsic
LMa1,16,,73,MeLo13,ol_intrinsic
LMa4,3,,86,TmY19a,ol_intrinsic
Tm34,2,,86,Tm35,ol_intrinsic
ORN_VA6,24,sensory neuron,63,ORN_VA6,cb_sensory
LLPt,17,,69,LOLP1,ol_intrinsic
FS3,9,,76,FS3_d,cb_intrinsic
MeTu2a,15,,70,MeTu2a,visual_projection
Dm1,2,CNS neuron,80,Dm1,ol_intrinsic
MTe50,27,,55,MeVP11,visual_projection
cLP01,21,,61,LPT112,visual_centrifugal
Tlp5,13,,68,Tlp11,ol_intrinsic
PFNa,22,,58,PFNa,cb_intrinsic
Sm16,10,,70,Cm12,ol_intrinsic
Pm04,5,,74,Pm10,ol_intrinsic
Sm19,3,,75,Cm11a,ol_intrinsic
FC3,25,,52,FC3_b,cb_intrinsic
LC20a,13,,62,LC20a,visual_projection
LMt4,25,,50,MeLo11,ol_intrinsic
Li11,7,,68,Li34a,ol_intrinsic
MTe03,14,,61,MeVP10,visual_projection
vDeltaA_b,44,,31,vDeltaA_b,cb_intrinsic
LC27,28,,46,LC27,visual_projection
LC40,40,CNS neuron,34,LC40,visual_projection
ORN_VM2,32,sensory neuron,41,ORN_VM2,cb_sensory
LC28a,10,,62,LC28,visual_projection
Li18,21,,51,Li19,ol_intrinsic
ORN_DM3,9,sensory neuron,63,ORN_DM3,cb_sensory
ORN_VM3,29,sensory neuron,43,ORN_VM3,cb_sensory
FS4A,14,,57,FS4A,cb_intrinsic
LC28b,9,,61,LoVP5,visual_projection
Pm09,1,,69,Pm3,ol_intrinsic
LMt2,7,,61,MeLo10,ol_intrinsic
LC31a,35,,32,LC31a,visual_projection
LCe01b,15,,52,LoVP1,visual_projection
LPi11,6,,61,LPi43,ol_intrinsic
Li09,7,,60,Li34b,ol_intrinsic
Sm20,11,,56,Cm11b,ol_intrinsic
Tlp14,9,,58,Tlp14,ol_intrinsic
Dm6,4,CNS neuron,62,Dm6,ol_intrinsic
FC1C,15,,51,FC1E,cb_intrinsic
aMe5,24,,42,aMe5,visual_projection
LPi02,4,,61,LPi2d,ol_intrinsic
MLt7,3,,62,MeLo6,ol_intrinsic
LPi10,10,,54,LPi2c,ol_intrinsic
vDeltaM,9,,55,vDeltaM,cb_intrinsic
Dm18,5,CNS neuron,58,Dm18,ol_intrinsic
FC1D,38,,25,FC1D,cb_intrinsic
LMt1,13,,50,MeLo12,ol_intrinsic
ORN_DL4,1,,62,ORN_DL4,cb_sensory
Li04,30,,31,Li18b,ol_intrinsic
vDeltaL,23,,37,vDeltaL,cb_intrinsic
MTe52,19,,40,MeVP4,visual_projection
PAM08,9,,50,PAM08,cb_intrinsic
FC2C,11,,47,FC2C,cb_intrinsic
LCe04,16,,42,LoVP12,visual_projection
Li08,9,,49,Li18a,ol_intrinsic
Sm22,6,,52,Cm13,ol_intrinsic
