cell_type_name,female_n,female_broad_class,male_n,male_cell_type,male_superclass,category
CV1031,2,,0,,,female_specific
CV1032,2,,0,,,female_specific
CV1035,2,,0,,,female_specific
CV1036,2,,0,,,female_specific
CV1037,2,efferent neuron,0,,,female_specific
CV1038,2,,0,,,female_specific
CV1039,2,,0,,,female_specific
CV1040,2,,0,,,female_specific
CV1041,2,,0,,,female_specific
CV1042,2,,0,,,female_specific
CV1043,2,,0,,,female_specific
CV1044,2,,0,,,female_specific
CV1045,2,,0,,,female_specific
CV1046,2,,0,,,female_specific
CvN2,2,efferent neuron,0,,,female_specific
CvN3,2,efferent neuron,0,,,female_specific
CvN4,2,efferent neuron,0,,,female_specific
CvN6,2,efferent neuron,0,,,female_specific
CvN7,2,efferent neuron,0,,,female_specific
CvN_A1,2,efferent neuron,0,,,female_specific
DM6_posterior_55,2,,0,,,female_specific
DNa12,2,CNS neuron,0,,,female_specific
DNd01,2,,0,,,female_specific
DNde004,2,CNS neuron,0,,,female_specific
DNfl032,2,CNS neuron,0,,,female_specific
DNfl040,2,CNS neuron,0,,,female_specific
DNfl042,2,CNS neuron,0,,,female_specific
DNge005,2,CNS neuron,0,,,female_specific
DNge0128,2,CNS neuron,0,,,female_specific
DNge061,2,CNS neuron,0,,,female_specific
DNge118,2,CNS neuron,0,,,female_specific
DNit007,2,CNS neuron,0,,,female_specific
DNit012,2,CNS neuron,0,,,female_specific
DNml001,2,CNS neuron,0,,,female_specific
DNnt015,2,CNS neuron,0,,,female_specific
DNnt019,2,CNS neuron,0,,,female_specific
DNnt020,2,CNS neuron,0,,,female_specific
DNp51,2,CNS neuron,0,,,female_specific
DNut045,2,CNS neuron,0,,,female_specific
DNut050,2,CNS neuron,0,,,female_specific
DNut051,2,CNS neuron,0,,,female_specific
DNut053,2,CNS neuron,0,,,female_specific
DNxl063,2,CNS neuron,0,,,female_specific
DNxl066,2,CNS neuron,0,,,female_specific
DNxl068,2,CNS neuron,0,,,female_specific
DNxl070,2,CNS neuron,0,,,female_specific
DNxl073,2,CNS neuron,0,,,female_specific
DNxl078,2,CNS neuron,0,,,female_specific
DNxl080,2,CNS neuron,0,,,female_specific
DNxl081,2,CNS neuron,0,,,female_specific
DNxl083,2,CNS neuron,0,,,female_specific
DNxl091,2,CNS neuron,0,,,female_specific
DNxl095,2,CNS neuron,0,,,female_specific
DNxl100,2,CNS neuron,0,,,female_specific
DNxl101,2,CNS neuron,0,,,female_specific
DNxl104,2,CNS neuron,0,,,female_specific
DNxl111,2,CNS neuron,0,,,female_specific
DNxl115,2,CNS neuron,0,,,female_specific
DNxl125,2,CNS neuron,0,,,female_specific
DNxl127,2,CNS neuron,0,,,female_specific
DNxn071,2,CNS neuron,0,,,female_specific
DNxn100,2,,0,,,female_specific
DNxn102,2,CNS neuron,0,,,female_specific
DNxn104,2,CNS neuron,0,,,female_specific
DNxn111,2,CNS neuron,0,,,female_specific
DNxn113,2,CNS neuron,0,,,female_specific
DNxn114,2,CNS neuron,0,,,female_specific
DNxn126,2,CNS neuron,0,,,female_specific
DNxn127,2,CNS neuron,0,,,female_specific
DNxn129,2,CNS neuron,0,,,female_specific
DNxn136,2,CNS neuron,0,,,female_specific
DNxn139,2,CNS neuron,0,,,female_specific
DNxn143,2,CNS neuron,0,,,female_specific
DNxn145,2,CNS neuron,0,,,female_specific
DNxn151,2,CNS neuron,0,,,female_specific
DNxn155,2,CNS neuron,0,,,female_specific
DNxn157,2,CNS neuron,0,,,female_specific
DNxn159,2,CNS neuron,0,,,female_specific
DNxn184,2,CNS neuron,0,,,female_specific
DProN_v,2,efferent neuron,0,,,female_specific
EAXXX079,2,sensory neuron,0,,,female_specific
EN00B004,2,,0,,,female_specific
EN00B011,2,efferent neuron,0,,,female_specific
EN00B017,2,efferent neuron,0,,,female_specific
ENXXX128,2,efferent neuron,0,,,female_specific
ER3a_c,2,,0,,,female_specific
FB1H,2,,0,,,female_specific
FB2B_a,2,,0,,,female_specific
FB2B_b,2,,0,,,female_specific
FB2I_b,2,,0,,,female_specific
FB2J,2,,0,,,female_specific
FB4H,2,,0,,,female_specific
FB4M,2,,0,,,female_specific
FB4Q_a,2,,0,,,female_specific
FB4X,2,,0,,,female_specific
FB4Y,2,,0,,,female_specific
FB5AB,2,,0,,,female_specific
FB5G,2,,0,,,female_specific
FB6H,2,,0,,,female_specific
FB6J,2,,0,,,female_specific
FB6Z,2,,0,,,female_specific
FB8C,2,,0,,,female_specific
FB9B_a,2,,0,,,female_specific
FB9B_d,2,,0,,,female_specific
FB9C_b,2,,0,,,female_specific
GFC2,2,,0,,,female_specific
Hugin-PH,2,efferent neuron,0,,,female_specific
IB034,2,,0,,,female_specific
IB039,2,,0,,,female_specific
IB041,2,,0,,,female_specific
IN00A001,2,,0,,,female_specific
IN00A002,2,,0,,,female_specific
IN00A011,2,,0,,,female_specific
IN00A024,2,,0,,,female_specific
IN00A029,2,,0,,,female_specific
IN00A032,2,,0,,,female_specific
IN00A033,2,,0,,,female_specific
IN00A034,2,,0,,,female_specific
IN00A035,2,,0,,,female_specific
IN00A036,2,,0,,,female_specific
IN00A038,2,,0,,,female_specific
IN00A042,2,,0,,,female_specific
IN00A047,2,,0,,,female_specific
IN00A048,2,,0,,,female_specific
IN00A049,2,,0,,,female_specific
IN01A005,2,,0,,,female_specific
IN01A010,2,,0,,,female_specific
IN01A016,2,,0,,,female_specific
IN01A019,2,,0,,,female_specific
IN01A023,2,,0,,,female_specific
IN01A027,2,,0,,,female_specific
IN01A029,2,,0,,,female_specific
IN01A044,2,,0,,,female_specific
IN01A046,2,,0,,,female_specific
IN01A056,2,,0,,,female_specific
IN01A058,2,,0,,,female_specific
IN01A066,2,,0,,,female_specific
IN01A067,2,,0,,,female_specific
IN01A075,2,,0,,,female_specific
IN01A077,2,,0,,,female_specific
IN01A081,2,,0,,,female_specific
IN01A083,2,,0,,,female_specific
IN01A084,2,,0,,,female_specific
IN01A085,2,,0,,,female_specific
IN01B001,2,,0,,,female_specific
IN01B002,2,,0,,,female_specific
IN01B007,2,,0,,,female_specific
IN01B010,2,,0,,,female_specific
IN01B026,2,,0,,,female_specific
IN01B028,2,,0,,,female_specific
IN01B031,2,,0,,,female_specific
IN01B034,2,,0,,,female_specific
IN01B035,2,,0,,,female_specific
IN01B036,2,,0,,,female_specific
IN01B037,2,sensory neuron,0,,,female_specific
IN01B040,2,,0,,,female_specific
IN01B042,2,,0,,,female_specific
IN01B043,2,,0,,,female_specific
IN01B046,2,,0,,,female_specific
IN01B052,2,,0,,,female_specific
IN01B059,2,,0,,,female_specific
IN01B063,2,,0,,,female_specific
IN01B081,2,sensory neuron,0,,,female_specific
IN01B082,2,,0,,,female_specific
IN01B084,2,,0,,,female_specific
IN01B097,2,,0,,,female_specific
IN02A004,2,glia,0,,,female_specific
IN02A010,2,glia,0,,,female_specific
IN02A012,2,,0,,,female_specific
IN02A023,2,,0,,,female_specific
IN02A024,2,,0,,,female_specific
IN02A033,2,,0,,,female_specific
IN02A052,2,,0,,,female_specific
IN02A062,2,,0,,,female_specific
IN03A001,2,,0,,,female_specific
IN03A007,2,,0,,,female_specific
IN03A010,2,,0,,,female_specific
IN03A014,2,,0,,,female_specific
IN03A016,2,,0,,,female_specific
IN03A019,2,,0,,,female_specific
IN03A022,2,,0,,,female_specific
IN03A030,2,,0,,,female_specific
IN03A033,2,,0,,,female_specific
IN03A035,2,,0,,,female_specific
IN03A043,2,,0,,,female_specific
IN03A053,2,,0,,,female_specific
IN03A063,2,,0,,,female_specific
IN03A065,2,,0,,,female_specific
IN03A066,2,,0,,,female_specific
IN03A070,2,,0,,,female_specific
IN03A076,2,,0,,,female_specific
IN03A091,2,,0,,,female_specific
IN03A093,2,,0,,,female_specific
IN03B001,2,,0,,,female_specific
IN03B005,2,,0,,,female_specific
IN03B008,2,,0,,,female_specific
IN03B011,2,,0,,,female_specific
IN03B016,2,,0,,,female_specific
IN03B022,2,,0,,,female_specific
IN03B025,2,,0,,,female_specific
IN03B028,2,,0,,,female_specific
IN03B031,2,,0,,,female_specific
IN03B034,2,,0,,,female_specific
IN03B036,2,,0,,,female_specific
IN03B038,2,,0,,,female_specific
IN03B045,2,,0,,,female_specific
IN03B051,2,,0,,,female_specific
IN03B067,2,,0,,,female_specific
IN03B075,2,,0,,,female_specific
IN03B076,2,,0,,,female_specific
IN03B078,2,,0,,,female_specific
IN03B081,2,,0,,,female_specific
IN03B085,2,,0,,,female_specific
IN04B004,2,,0,,,female_specific
IN04B005,2,,0,,,female_specific
IN04B015,2,,0,,,female_specific
IN04B022,2,,0,,,female_specific
IN04B025,2,,0,,,female_specific
IN04B028,2,,0,,,female_specific
IN04B033,2,,0,,,female_specific
IN04B047,2,glia,0,,,female_specific
IN04B049,2,,0,,,female_specific
IN04B055,2,,0,,,female_specific
IN04B058,2,,0,,,female_specific
IN04B064,2,,0,,,female_specific
IN04B069,2,,0,,,female_specific
IN04B082,2,sensory neuron,0,,,female_specific
IN04B086,2,,0,,,female_specific
IN04B089,2,,0,,,female_specific
IN04B095,2,,0,,,female_specific
IN04B102,2,,0,,,female_specific
IN04B112,2,,0,,,female_specific
IN04B114,2,,0,,,female_specific
IN04B115,2,,0,,,female_specific
IN05B008,2,,0,,,female_specific
IN05B014,2,,0,,,female_specific
IN05B016,2,,0,,,female_specific
IN05B018,2,,0,,,female_specific
IN05B019,2,,0,,,female_specific
IN05B020,2,,0,,,female_specific
IN05B028,2,,0,,,female_specific
IN05B030,2,,0,,,female_specific
IN05B031,2,,0,,,female_specific
IN05B034,2,,0,,,female_specific
IN05B037,2,,0,,,female_specific
IN05B038,2,,0,,,female_specific
IN05B039,2,,0,,,female_specific
IN05B041,2,,0,,,female_specific
IN05B043,2,,0,,,female_specific
IN05B061,2,,0,,,female_specific
IN05B073,2,,0,,,female_specific
IN05B087,2,,0,,,female_specific
IN05B094,2,,0,,,female_specific
IN06A002,2,,0,,,female_specific
IN06A004,2,,0,,,female_specific
IN06A005,2,,0,,,female_specific
IN06A006,2,CNS neuron,0,,,female_specific
IN06A008,2,,0,,,female_specific
IN06A012,2,,0,,,female_specific
IN06A013,2,,0,,,female_specific
IN06A014,2,,0,,,female_specific
IN06A016,2,,0,,,female_specific
IN06A018,2,,0,,,female_specific
IN06A023,2,,0,,,female_specific
IN06A024,2,,0,,,female_specific
IN06A028,2,,0,,,female_specific
IN06A035,2,,0,,,female_specific
IN06A036,2,,0,,,female_specific
IN06A037,2,,0,,,female_specific
IN06A038,2,,0,,,female_specific
IN06A040,2,,0,,,female_specific
IN06A043,2,,0,,,female_specific
IN06A045,2,,0,,,female_specific
IN06A046,2,,0,,,female_specific
IN06A055,2,,0,,,female_specific
IN06A058,2,,0,,,female_specific
IN06A068,2,,0,,,female_specific
IN06A069,2,glia,0,,,female_specific
IN06A073,2,,0,,,female_specific
IN06A074,2,,0,,,female_specific
IN06A088,2,,0,,,female_specific
IN06A091,2,,0,,,female_specific
IN06A111,2,,0,,,female_specific
IN06A121,2,,0,,,female_specific
IN06A125,2,,0,,,female_specific
IN06A138,2,,0,,,female_specific
IN06B001,2,,0,,,female_specific
IN06B006,2,,0,,,female_specific
IN06B015,2,,0,,,female_specific
IN06B020,2,,0,,,female_specific
IN06B035,2,,0,,,female_specific
IN06B036,2,,0,,,female_specific
IN06B038,2,,0,,,female_specific
IN06B050,2,,0,,,female_specific
IN06B055,2,,0,,,female_specific
IN06B058,2,,0,,,female_specific
IN06B069,2,,0,,,female_specific
IN06B084,2,,0,,,female_specific
IN06B086,2,,0,,,female_specific
IN07B008,2,,0,,,female_specific
IN07B016,2,CNS neuron,0,,,female_specific
IN07B044,2,,0,,,female_specific
IN07B090,2,,0,,,female_specific
IN07B096,2,,0,,,female_specific
IN07B104,2,,0,,,female_specific
IN08A006,2,,0,,,female_specific
IN08A007,2,,0,,,female_specific
IN08A008,2,,0,,,female_specific
IN08A018_T2_L,2,,0,,,female_specific
IN08A019,2,,0,,,female_specific
IN08A022,2,CNS neuron,0,,,female_specific
IN08A025,2,CNS neuron,0,,,female_specific
IN08A027,2,,0,,,female_specific
IN08A034,2,CNS neuron,0,,,female_specific
IN08A047,2,,0,,,female_specific
IN08B004,2,,0,,,female_specific
IN08B019,2,CNS neuron,0,,,female_specific
IN08B021,2,,0,,,female_specific
IN08B035,2,,0,,,female_specific
IN08B037,2,,0,,,female_specific
IN08B055,2,,0,,,female_specific
IN08B064,2,,0,,,female_specific
IN08B065,2,,0,,,female_specific
IN08B072,2,,0,,,female_specific
IN08B090,2,,0,,,female_specific
IN08B104,2,,0,,,female_specific
IN09A003,2,,0,,,female_specific
IN09A004,2,,0,,,female_specific
IN09A015,2,,0,,,female_specific
IN09A018,2,,0,,,female_specific
IN09A023,2,,0,,,female_specific
IN09A031,2,,0,,,female_specific
IN09A033,2,CNS neuron,0,,,female_specific
IN09A039,2,,0,,,female_specific
IN09A042,2,,0,,,female_specific
IN09A045,2,,0,,,female_specific
IN09A046,2,,0,,,female_specific
IN09A047,2,,0,,,female_specific
IN09A049,2,CNS neuron,0,,,female_specific
IN09A050,2,CNS neuron,0,,,female_specific
IN09A052,2,,0,,,female_specific
IN09A056,2,,0,,,female_specific
IN09A061,2,CNS neuron,0,,,female_specific
IN09A068,2,,0,,,female_specific
IN09A077,2,CNS neuron,0,,,female_specific
IN09A078,2,,0,,,female_specific
IN09A085,2,CNS neuron,0,,,female_specific
IN09A088,2,,0,,,female_specific
IN09A091,2,CNS neuron,0,,,female_specific
IN09B014,2,,0,,,female_specific
IN09B018,2,,0,,,female_specific
IN09B048,2,,0,,,female_specific
IN09B050,2,CNS neuron,0,,,female_specific
IN10B030,2,,0,,,female_specific
IN10B050,2,,0,,,female_specific
IN10B059,2,,0,,,female_specific
IN11A001,2,,0,,,female_specific
IN11A013,2,,0,,,female_specific
IN11A018,2,,0,,,female_specific
IN11A026,2,,0,,,female_specific
IN11A035,2,,0,,,female_specific
IN11A044,2,,0,,,female_specific
IN11B002,2,,0,,,female_specific
IN11B006,2,,0,,,female_specific
IN11B011,2,,0,,,female_specific
IN11B012,2,,0,,,female_specific
IN12A001,2,,0,,,female_specific
IN12A004,2,,0,,,female_specific
IN12A006,2,,0,,,female_specific
IN12A009,2,,0,,,female_specific
IN12A010,2,,0,,,female_specific
IN12A011,2,,0,,,female_specific
IN12A012,2,,0,,,female_specific
IN12A019,2,,0,,,female_specific
IN12A026,2,,0,,,female_specific
IN12A050,2,,0,,,female_specific
IN12B007,2,,0,,,female_specific
IN12B012,2,,0,,,female_specific
IN12B025,2,,0,,,female_specific
IN12B030,2,,0,,,female_specific
IN12B031,2,,0,,,female_specific
IN12B034,2,glia,0,,,female_specific
IN12B036,2,,0,,,female_specific
IN12B047,2,,0,,,female_specific
IN12B053,2,,0,,,female_specific
IN12B058,2,,0,,,female_specific
IN12B060,2,,0,,,female_specific
IN12B064,2,,0,,,female_specific
IN12B070,2,,0,,,female_specific
IN12B077,2,,0,,,female_specific
IN13A011,2,CNS neuron,0,,,female_specific
IN13A031,2,,0,,,female_specific
IN13A037,2,CNS neuron,0,,,female_specific
IN13A053,2,,0,,,female_specific
IN13B006,2,,0,,,female_specific
IN13B008,2,,0,,,female_specific
IN13B015,2,,0,,,female_specific
IN13B017,2,,0,,,female_specific
IN13B028,2,,0,,,female_specific
IN13B029,2,,0,,,female_specific
IN13B033,2,,0,,,female_specific
IN13B035,2,,0,,,female_specific
IN13B041,2,,0,,,female_specific
IN13B044,2,,0,,,female_specific
IN13B045,2,,0,,,female_specific
IN13B053,2,,0,,,female_specific
IN13B055,2,,0,,,female_specific
IN13B057,2,,0,,,female_specific
IN13B072,2,,0,,,female_specific
IN13B074,2,,0,,,female_specific
IN13B076,2,,0,,,female_specific
IN13B079,2,,0,,,female_specific
IN13B098,2,CNS neuron,0,,,female_specific
IN14A010,2,,0,,,female_specific
IN14A011,2,,0,,,female_specific
IN14A014,2,,0,,,female_specific
IN14A017,2,,0,,,female_specific
IN14A018,2,,0,,,female_specific
IN14A030,2,,0,,,female_specific
IN14A036,2,,0,,,female_specific
IN14A040,2,,0,,,female_specific
IN14A063,2,,0,,,female_specific
IN14A064,2,,0,,,female_specific
IN14A078,2,sensory neuron,0,,,female_specific
IN14A108,2,,0,,,female_specific
IN14A114,2,CNS neuron,0,,,female_specific
IN14A116,2,,0,,,female_specific
IN14B001,2,,0,,,female_specific
IN14B002,2,CNS neuron,0,,,female_specific
IN14B003,2,,0,,,female_specific
IN14B004,2,CNS neuron,0,,,female_specific
IN14B006,2,,0,,,female_specific
IN14B008,2,glia,0,,,female_specific
IN14B009,2,,0,,,female_specific
IN16B033,2,,0,,,female_specific
IN16B034,2,CNS neuron,0,,,female_specific
IN16B036,2,,0,,,female_specific
IN16B041,2,CNS neuron,0,,,female_specific
IN16B045,2,CNS neuron,0,,,female_specific
IN16B052,2,,0,,,female_specific
IN16B055,2,CNS neuron,0,,,female_specific
IN16B056,2,glia,0,,,female_specific
IN16B060,2,CNS neuron,0,,,female_specific
IN16B062,2,,0,,,female_specific
IN16B065,2,,0,,,female_specific
IN16B066,2,,0,,,female_specific
IN16B073,2,,0,,,female_specific
IN16B085,2,,0,,,female_specific
IN16B089,2,,0,,,female_specific
IN16B099,2,,0,,,female_specific
IN16B102,2,CNS neuron,0,,,female_specific
IN16B117,2,,0,,,female_specific
IN16B118,2,,0,,,female_specific
IN16B125,2,,0,,,female_specific
IN17A011,2,,0,,,female_specific
IN17A023,2,,0,,,female_specific
IN17A029,2,,0,,,female_specific
IN17A072,2,,0,,,female_specific
IN17A081,2,,0,,,female_specific
IN17A082,2,,0,,,female_specific
IN17A090,2,,0,,,female_specific
IN17A096,2,,0,,,female_specific
IN17A097,2,,0,,,female_specific
IN17A100,2,,0,,,female_specific
IN17A107,2,,0,,,female_specific
IN17A118,2,,0,,,female_specific
IN17B001,2,,0,,,female_specific
IN17B006,2,,0,,,female_specific
IN17B008,2,,0,,,female_specific
IN17B010,2,,0,,,female_specific
IN18B011,2,,0,,,female_specific
IN18B012,2,sensory neuron,0,,,female_specific
IN18B027,2,,0,,,female_specific
IN18B032,2,,0,,,female_specific
IN18B040,2,,0,,,female_specific
IN18B041,2,,0,,,female_specific
IN18B043,2,,0,,,female_specific
IN18B048,2,,0,,,female_specific
IN18B051,2,,0,,,female_specific
IN18B052,2,,0,,,female_specific
IN18B054,2,,0,,,female_specific
IN19A028,2,,0,,,female_specific
IN19A031,2,,0,,,female_specific
IN19A033,2,,0,,,female_specific
IN19A034,2,,0,,,female_specific
IN19A037,2,,0,,,female_specific
IN19A040,2,,0,,,female_specific
IN19A051,2,,0,,,female_specific
IN19A055,2,,0,,,female_specific
IN19A062,2,,0,,,female_specific
IN19A068,2,,0,,,female_specific
IN19A079,2,,0,,,female_specific
IN19A080,2,,0,,,female_specific
IN19A090,2,,0,,,female_specific
IN19A103,2,,0,,,female_specific
IN19A116,2,,0,,,female_specific
IN19A142,2,,0,,,female_specific
IN19B004,2,,0,,,female_specific
IN19B010,2,,0,,,female_specific
IN19B011,2,,0,,,female_specific
IN19B012,2,,0,,,female_specific
IN19B020,2,sensory neuron,0,,,female_specific
IN19B021,2,,0,,,female_specific
IN19B030,2,,0,,,female_specific
IN19B035,2,,0,,,female_specific
IN19B038,2,,0,,,female_specific
IN19B047,2,glia,0,,,female_specific
IN19B048,2,,0,,,female_specific
IN19B050,2,,0,,,female_specific
IN19B058,2,glia,0,,,female_specific
IN19B062,2,,0,,,female_specific
IN19B080,2,,0,,,female_specific
IN19B081,2,,0,,,female_specific
IN19B084,2,,0,,,female_specific
IN19B111,2,,0,,,female_specific
IN19B112,2,,0,,,female_specific
IN20A.22A005,2,,0,,,female_specific
IN20A.22A025,2,,0,,,female_specific
IN20A.22A032,2,,0,,,female_specific
IN20A.22A037,2,,0,,,female_specific
IN20A.22A053,2,,0,,,female_specific
IN20A.22A062,2,,0,,,female_specific
IN20A.22A064,2,,0,,,female_specific
IN20A.22A077,2,,0,,,female_specific
IN20A.22A091,2,,0,,,female_specific
IN21A027,2,CNS neuron,0,,,female_specific
IN21A029,2,,0,,,female_specific
IN21A030,2,,0,,,female_specific
IN21A032,2,,0,,,female_specific
IN21A034,2,,0,,,female_specific
IN21A036,2,,0,,,female_specific
IN21A045,2,,0,,,female_specific
IN21A050,2,,0,,,female_specific
IN21A071,2,,0,,,female_specific
IN21A073,2,,0,,,female_specific
IN21A076,2,,0,,,female_specific
IN21A088,2,,0,,,female_specific
IN21A092,2,,0,,,female_specific
IN21A096,2,,0,,,female_specific
IN23B001,2,,0,,,female_specific
IN23B008,2,,0,,,female_specific
IN23B011,2,,0,,,female_specific
IN23B028,2,,0,,,female_specific
IN23B030,2,,0,,,female_specific
IN23B036,2,,0,,,female_specific
IN23B037,2,,0,,,female_specific
IN23B040,2,,0,,,female_specific
IN23B043,2,,0,,,female_specific
IN23B047,2,,0,,,female_specific
IN23B050,2,,0,,,female_specific
IN23B074,2,,0,,,female_specific
IN23B078,2,,0,,,female_specific
IN23B084,2,glia,0,,,female_specific
IN23B089,2,,0,,,female_specific
IN26X001,2,,0,,,female_specific
IN27X001,2,,0,,,female_specific
IN27X005,2,,0,,,female_specific
IN27X014,2,,0,,,female_specific
INXXX003,2,,0,,,female_specific
INXXX004,2,,0,,,female_specific
INXXX008,2,,0,,,female_specific
INXXX011,2,,0,,,female_specific
INXXX022,2,,0,,,female_specific
INXXX023,2,,0,,,female_specific
INXXX029,2,,0,,,female_specific
INXXX031,2,,0,,,female_specific
INXXX035,2,,0,,,female_specific
INXXX036,2,CNS neuron,0,,,female_specific
INXXX038,2,,0,,,female_specific
INXXX042,2,,0,,,female_specific
INXXX048,2,,0,,,female_specific
INXXX054,2,,0,,,female_specific
INXXX063,2,,0,,,female_specific
INXXX065,2,,0,,,female_specific
INXXX066,2,,0,,,female_specific
INXXX073,2,,0,,,female_specific
INXXX076,2,,0,,,female_specific
INXXX089,2,,0,,,female_specific
INXXX104,2,,0,,,female_specific
INXXX114,2,,0,,,female_specific
INXXX115,2,,0,,,female_specific
INXXX119,2,,0,,,female_specific
INXXX122,2,,0,,,female_specific
INXXX129,2,,0,,,female_specific
INXXX134,2,,0,,,female_specific
INXXX135,2,,0,,,female_specific
INXXX138,2,,0,,,female_specific
INXXX140,2,,0,,,female_specific
INXXX143,2,,0,,,female_specific
INXXX147,2,,0,,,female_specific
INXXX153,2,,0,,,female_specific
INXXX173,2,,0,,,female_specific
INXXX183,2,,0,,,female_specific
INXXX192,2,,0,,,female_specific
INXXX194,2,CNS neuron,0,,,female_specific
INXXX199,2,,0,,,female_specific
INXXX206,2,,0,,,female_specific
INXXX219,2,,0,,,female_specific
INXXX223,2,,0,,,female_specific
INXXX224,2,,0,,,female_specific
INXXX232,2,,0,,,female_specific
INXXX233,2,,0,,,female_specific
INXXX238,2,,0,,,female_specific
INXXX241,2,,0,,,female_specific
INXXX243,2,glia,0,,,female_specific
INXXX245,2,,0,,,female_specific
INXXX249,2,,0,,,female_specific
INXXX252,2,,0,,,female_specific
INXXX261,2,,0,,,female_specific
INXXX263,2,,0,,,female_specific
INXXX268,2,,0,,,female_specific
INXXX270,2,,0,,,female_specific
INXXX276,2,,0,,,female_specific
INXXX284,2,,0,,,female_specific
INXXX295,2,,0,,,female_specific
INXXX300,2,,0,,,female_specific
INXXX304,2,,0,,,female_specific
INXXX335,2,,0,,,female_specific
INXXX339,2,,0,,,female_specific
INXXX340,2,,0,,,female_specific
INXXX345,2,,0,,,female_specific
INXXX347,2,,0,,,female_specific
INXXX351,2,,0,,,female_specific
INXXX355,2,,0,,,female_specific
INXXX359,2,,0,,,female_specific
INXXX383,2,,0,,,female_specific
INXXX387,2,,0,,,female_specific
INXXX388,2,,0,,,female_specific
INXXX390,2,,0,,,female_specific
INXXX403,2,efferent neuron,0,,,female_specific
INXXX406,2,,0,,,female_specific
INXXX408,2,,0,,,female_specific
INXXX412,2,,0,,,female_specific
INXXX423,2,,0,,,female_specific
INXXX442,2,,0,,,female_specific
INXXX449,2,,0,,,female_specific
INXXX467,2,,0,,,female_specific
INXXX469,2,,0,,,female_specific
JO-FVL,2,sensory neuron,0,,,female_specific
KCab-s,2,CNS neuron,0,,,female_specific
LAL103,2,,0,,,female_specific
LAL117b,2,,0,,,female_specific
LAL168,2,,0,,,female_specific
LALv1_ventral__1,2,,0,,,female_specific
LC31c,2,,0,,,female_specific
LHAD1b2_a,2,,0,,,female_specific
LHAD1f3b,2,,0,,,female_specific
LHAD2c3c,2,,0,,,female_specific
LHAV3c1,2,,0,,,female_specific
LHAV7b1,2,,0,,,female_specific
LN_ITP,2,,0,,,female_specific
LPN,2,,0,,,female_specific
LTe49e,2,,0,,,female_specific
LTe59b,2,,0,,,female_specific
Li2,2,CNS neuron,0,,,female_specific
MNad25,2,efferent neuron,0,,,female_specific
MNad26,2,efferent neuron,0,,,female_specific
MNad36,2,efferent neuron,0,,,female_specific
MNad42,2,efferent neuron,0,,,female_specific
MNad43,2,efferent neuron,0,,,female_specific
MNad57,2,efferent neuron,0,,,female_specific
MNhl01,2,efferent neuron,0,,,female_specific
MNhl02,2,efferent neuron,0,,,female_specific
MNhl59,2,efferent neuron,0,,,female_specific
MNhl65,2,efferent neuron,0,,,female_specific
MNhl87,2,efferent neuron,0,,,female_specific
MNhm03,2,efferent neuron,0,,,female_specific
MNml29,2,efferent neuron,0,,,female_specific
MNml80,2,efferent neuron,0,,,female_specific
MNwm35,2,efferent neuron,0,,,female_specific
MNwm36,2,efferent neuron,0,,,female_specific
MNxm01,2,efferent neuron,0,,,female_specific
MNxm02,2,efferent neuron,0,,,female_specific
MX3_49,2,CNS neuron,0,,,female_specific
M_l2PN10t19,2,,0,,,female_specific
M_vPNml74,2,,0,,,female_specific
MooSEZ,2,,0,,,female_specific
PLP057b,2,,0,,,female_specific
PLP103a,2,,0,,,female_specific
PLP150c,2,,0,,,female_specific
PLP204,2,CNS neuron,0,,,female_specific
PS018,2,,0,,,female_specific
PS036,2,,0,,,female_specific
PS042,2,,0,,,female_specific
PS077,2,,0,,,female_specific
PS099,2,,0,,,female_specific
PS179,2,,0,,,female_specific
PS188a,2,,0,,,female_specific
PS225,2,CNS neuron,0,,,female_specific
PSp3__0,2,,0,,,female_specific
PVLP006,2,,0,,,female_specific
PVLP048,2,,0,,,female_specific
SAD004,2,,0,,,female_specific
SAD006,2,,0,,,female_specific
SAD075,2,,0,,,female_specific
SAF,2,,0,,,female_specific
SA_DMT_ADMN_8,2,sensory neuron,0,,,female_specific
SA_DMT_DMetaN_2,2,,0,,,female_specific
SA_MDA_1,2,sensory neuron,0,,,female_specific
SA_MDA_2,2,,0,,,female_specific
SA_MDA_4,2,sensory neuron,0,,,female_specific
SA_VTV_5,2,sensory neuron,0,,,female_specific
SA_VTV_9,2,sensory neuron,0,,,female_specific
SIP021,2,,0,,,female_specific
SIP041,2,,0,,,female_specific
SIP079,2,,0,,,female_specific
SLP005,2,CNS neuron,0,,,female_specific
SLP007a,2,,0,,,female_specific
SLP212,2,,0,,,female_specific
SLP226,2,,0,,,female_specific
SLP227,2,,0,,,female_specific
SLP288c,2,,0,,,female_specific
SLP400b,2,,0,,,female_specific
SLP402,2,,0,,,female_specific
SLP421,2,,0,,,female_specific
SMP016_a,2,,0,,,female_specific
SMP059,2,,0,,,female_specific
SMP121,2,,0,,,female_specific
SMP193b,2,,0,,,female_specific
SMP215b,2,,0,,,female_specific
SMP305,2,,0,,,female_specific
SMP330a,2,,0,,,female_specific
SMP351,2,,0,,,female_specific
SMP469,2,,0,,,female_specific
SMP484,2,,0,,,female_specific
SMP485,2,,0,,,female_specific
SMP510a,2,,0,,,female_specific
SMP544,2,,0,,,female_specific
