cell_type_name,female_n,female_broad_class,male_n,male_cell_type,male_superclass,category
SApp22,17,sensory neuron,0,,,female_specific
SNch02,17,sensory neuron,0,,,female_specific
SNpp22,17,sensory neuron,0,,,female_specific
SNxx33,17,sensory neuron,0,,,female_specific
ltm1-tibia MN,17,efferent neuron,0,,,female_specific
AN_GNG_184,16,,0,,,female_specific
CB0958,16,,0,,,female_specific
ER3a_b,16,,0,,,female_specific
ER3w_b,16,,0,,,female_specific
IN01A051,16,,0,,,female_specific
IN03B089,16,,0,,,female_specific
IN06A059,16,,0,,,female_specific
IN07B073,16,,0,,,female_specific
IN08A043,16,,0,,,female_specific
IN11B016,16,,0,,,female_specific
IN12B044,16,,0,,,female_specific
IN13A068,16,,0,,,female_specific
INXXX334,16,,0,,,female_specific
INXXX341,16,,0,,,female_specific
SA_DMT_DMetaN,16,sensory neuron,0,,,female_specific
SApp01,16,sensory neuron,0,,,female_specific
SNpp57,16,sensory neuron,0,,,female_specific
SNta24,16,sensory neuron,0,,,female_specific
IN06A104,15,CNS neuron,0,,,female_specific
IN06A116,15,,0,,,female_specific
IN08A041,15,CNS neuron,0,,,female_specific
IN13A055,15,CNS neuron,0,,,female_specific
INXXX378,15,glia,0,,,female_specific
JO-EV,15,sensory neuron,0,,,female_specific
SNta03,15,sensory neuron,0,,,female_specific
SNta19,15,sensory neuron,0,,,female_specific
SNxx17,15,sensory neuron,0,,,female_specific
AN_GNG_179,14,CNS neuron,0,,,female_specific
CB3851,14,CNS neuron,0,,,female_specific
IN03B069,14,,0,,,female_specific
IN06A022,14,,0,,,female_specific
IN06A075,14,,0,,,female_specific
IN07B061,14,,0,,,female_specific
IN11B014,14,,0,,,female_specific
IN11B021,14,,0,,,female_specific
IN11B022,14,,0,,,female_specific
IN13A061,14,CNS neuron,0,,,female_specific
IN13A062,14,,0,,,female_specific
IN16B075,14,,0,,,female_specific
IN20A.22A030,14,,0,,,female_specific
IN20A.22A073,14,,0,,,female_specific
INXXX448,14,,0,,,female_specific
LB1a,14,sensory neuron,0,,,female_specific
SApp15,14,sensory neuron,0,,,female_specific
SApp17,14,sensory neuron,0,,,female_specific
SNch07,14,sensory neuron,0,,,female_specific
SNpp17,14,sensory neuron,0,,,female_specific
SNta02,14,sensory neuron,0,,,female_specific
dMS2,14,,0,,,female_specific
AN_GNG_192,13,sensory neuron,0,,,female_specific
CB3829,13,,0,,,female_specific
CB3834,13,CNS neuron,0,,,female_specific
ER1_b,13,,0,,,female_specific
FC1B,13,,0,,,female_specific
FC1E,13,,0,,,female_specific
IN03B072,13,,0,,,female_specific
IN06A132,13,sensory neuron,0,,,female_specific
IN11A021,13,,0,,,female_specific
IN13A029,13,,0,,,female_specific
IN13A040,13,,0,,,female_specific
IN13A051,13,CNS neuron,0,,,female_specific
IN19A093,13,CNS neuron,0,,,female_specific
IN21A037,13,,0,,,female_specific
INXXX247,13,,0,,,female_specific
INXXX332,13,,0,,,female_specific
INXXX454,13,,0,,,female_specific
JO-EDP,13,sensory neuron,0,,,female_specific
SApp06,13,sensory neuron,0,,,female_specific
SNpp02,13,sensory neuron,0,,,female_specific
SNpp44,13,sensory neuron,0,,,female_specific
