cell_type_name,female_n,female_broad_class,male_n,male_cell_type,male_superclass
IN20A.22A030,14,,0,,
IN20A.22A073,14,,0,,
INXXX448,14,,0,,
LB1a,14,sensory neuron,0,,
SApp15,14,sensory neuron,0,,
SApp17,14,sensory neuron,0,,
SNch07,14,sensory neuron,0,,
SNpp17,14,sensory neuron,0,,
SNta02,14,sensory neuron,0,,
dMS2,14,,0,,
AN_GNG_192,13,sensory neuron,0,,
CB3829,13,,0,,
CB3834,13,CNS neuron,0,,
ER1_b,13,,0,,
FC1B,13,,0,,
FC1E,13,,0,,
IN03B072,13,,0,,
IN06A132,13,sensory neuron,0,,
IN11A021,13,,0,,
IN13A029,13,,0,,
IN13A040,13,,0,,
IN13A051,13,CNS neuron,0,,
IN19A093,13,CNS neuron,0,,
IN21A037,13,,0,,
INXXX247,13,,0,,
INXXX332,13,,0,,
INXXX454,13,,0,,
JO-EDP,13,sensory neuron,0,,
SApp06,13,sensory neuron,0,,
SNpp02,13,sensory neuron,0,,
SNpp44,13,sensory neuron,0,,
SNta11,13,sensory neuron,0,,
CB1791,12,,0,,
DNnt011,12,CNS neuron,0,,
ER3a_a,12,,0,,
ER3p_a,12,,0,,
IN01B027,12,,0,,
IN03A062,12,,0,,
IN04B074,12,,0,,
IN04B078,12,,0,,
IN08B036,12,,0,,
IN11A032,12,,0,,
IN11B020,12,,0,,
IN12B072,12,,0,,
IN13A050,12,CNS neuron,0,,
IN13B090,12,,0,,
IN20A.22A024,12,,0,,
INXXX240,12,,0,,
INXXX354,12,,0,,
Pm2,12,CNS neuron,0,,
SApp02,12,sensory neuron,0,,
SNch04,12,sensory neuron,0,,
SNta33,12,sensory neuron,0,,
Sternal anterior rotator MN,12,efferent neuron,0,,
Sternal posterior rotator MN,12,efferent neuron,0,,
ltm MN,12,efferent neuron,0,,
w-cHIN,12,,0,,
Acc. tr flexor MN,11,efferent neuron,0,,
BM_FrOr,11,sensory neuron,0,,
CB2865,11,,0,,
CB3831,11,,0,,
CRE043,11,,0,,
ER2_a,11,,0,,
FC1F,11,,0,,
IN01B086,11,sensory neuron,0,,
IN03A046,11,,0,,
IN03A068,11,,0,,
IN03B061,11,,0,,
IN03B070,11,,0,,
IN03B077,11,,0,,
IN04B068,11,,0,,
IN05B090,11,,0,,
IN06B066,11,,0,,
IN08A036,11,CNS neuron,0,,
IN09A090,11,,0,,
IN09B038,11,,0,,
IN11B017,11,,0,,
IN12A059,11,,0,,
IN19A016,11,CNS neuron,0,,
IN19A064,11,,0,,
IN19A098,11,CNS neuron,0,,
IN19A122,11,,0,,
IN19B068,11,,0,,
IN20A.22A021,11,,0,,
IN20A.22A038,11,,0,,
IN20A.22A043,11,,0,,
IN20A.22A048,11,,0,,
IN20A.22A067,11,,0,,
INXXX228,11,,0,,
INXXX290,11,,0,,
INXXX297,11,,0,,
INXXX336,11,,0,,
INXXX363,11,,0,,
INXXX395,11,,0,,
LAL034,11,,0,,
Mt4,11,CNS neuron,0,,
OCI,11,,0,,
PI,11,efferent neuron,0,,
SA_VTV_3,11,sensory neuron,0,,
SNpp18,11,sensory neuron,0,,
SNxx02,11,sensory neuron,0,,
SNxx10,11,sensory neuron,0,,
Sternotrochanter MN,11,efferent neuron,0,,
pharyngeal_nerve_sensory_group2,11,sensory neuron,0,,
uLPTCrn,11,CNS neuron,0,,
AN_GNG_166,10,,0,,
CB2740,10,,0,,
CB2990,10,,0,,
CB3803,10,CNS neuron,0,,
DM5_ventral__0,10,,0,,
DNut046,10,CNS neuron,0,,
ENXXX226,10,efferent neuron,0,,
ER1_a,10,,0,,
FS1B,10,,0,,
GFC3,10,,0,,
IN01A045,10,,0,,
IN03B071,10,,0,,
IN03B091,10,,0,,
IN08A026,10,CNS neuron,0,,
IN08A028,10,,0,,
IN11B015,10,,0,,
IN12A063,10,,0,,
IN13A038,10,CNS neuron,0,,
IN13A045,10,,0,,
IN13A047,10,CNS neuron,0,,
IN14A023,10,CNS neuron,0,,
IN17A061,10,CNS neuron,0,,
IN19A041,10,,0,,
IN19A061,10,CNS neuron,0,,
IN19A073,10,,0,,
IN20A.22A018,10,,0,,
IN20A.22A035,10,,0,,
IN20A.22A036,10,,0,,
IN20A.22A060,10,,0,,
IN21A047,10,,0,,
IN21A058,10,,0,,
IN23B060,10,,0,,
INXXX161,10,,0,,
INXXX315,10,,0,,
INXXX411,10,,0,,
INXXX429,10,,0,,
JO-FDL,10,sensory neuron,0,,
KCa'b'-ap2,10,CNS neuron,0,,
LC10,10,CNS neuron,0,,
MNad13,10,efferent neuron,0,,
SAchxx,10,sensory neuron,0,,
SApp12,10,sensory neuron,0,,
SMP106a,10,,0,,
SNpp01,10,sensory neuron,0,,
SNxx20,10,sensory neuron,0,,
SNxx29,10,sensory neuron,0,,
Ti extensor MN,10,efferent neuron,0,,
WED031,10,,0,,
WED143,10,,0,,
ltm2-femur MN,10,efferent neuron,0,,
CB1329,9,,0,,
CB1761,9,,0,,
CB2317,9,,0,,
CB3275,9,,0,,
DNht001,9,CNS neuron,0,,
DNut054,9,CNS neuron,0,,
DProN_d,9,efferent neuron,0,,
EN00B026,9,efferent neuron,0,,
ER3d_a,9,,0,,
FB9B_c,9,,0,,
FC1A,9,,0,,
GFC4,9,,0,,
IN02A059,9,,0,,
IN03A064,9,,0,,
IN03A087,9,,0,,
IN03B079,9,,0,,
IN03B093,9,,0,,
IN05B085,9,,0,,
IN06A063,9,,0,,
IN06A067,9,,0,,
IN06A094,9,glia,0,,
IN06B056,9,,0,,
IN09A057,9,,0,,
IN09A079,9,,0,,
IN11A027,9,,0,,
IN12B063,9,,0,,
IN12B079,9,,0,,
IN13A018,9,,0,,
IN13A030,9,,0,,
IN13A034,9,,0,,
IN13A041,9,CNS neuron,0,,
IN13A042,9,CNS neuron,0,,
IN13B027,9,,0,,
IN17A028,9,,0,,
IN17A052,9,CNS neuron,0,,
IN19A096,9,CNS neuron,0,,
IN20A.22A039,9,,0,,
IN20A.22A071,9,,0,,
IN21A041,9,,0,,
INXXX058,9,,0,,
INXXX246,9,,0,,
INXXX269,9,,0,,
INXXX346,9,,0,,
JO-FVA,9,sensory neuron,0,,
LB2,9,sensory neuron,0,,
MC61,9,CNS neuron,0,,
Pleural remotor/abductor MN,9,efferent neuron,0,,
SA_DMT_DMetaN_8,9,,0,,
SApp11,9,sensory neuron,0,,
TuBu09,9,,0,,
aSP-f4,9,,0,,
abdominal_ppk_neuron,9,sensory neuron,0,,
AN_5_None,8,,0,,
AN_GNG_77,8,,0,,
APDN3,8,,0,,
BM_Fr,8,sensory neuron,0,,
BM_InOc,8,sensory neuron,0,,
CB0948,8,,0,,
CB0979,8,,0,,
CB1231,8,,0,,
CB1341,8,,0,,
CB1587,8,,0,,
CB2358,8,,0,,
CB2795,8,,0,,
CL210,8,,0,,
DLMn c-f,8,efferent neuron,0,,
DNxn109,8,CNS neuron,0,,
FB4F_a,8,,0,,
FB8A,8,,0,,
Hugin-PC,8,,0,,
